"","idno","cntry","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","age_category"
"1",50014,"Austria",2,4,3,10,5,4,"Male",65,"entre 60 y 74"
"2",50030,"Austria",1,2,2,8,8,5,"Female",21,"menor de 30"
"3",50057,"Austria",1,5,1,9,7,5,"Female",53,"entre 45 y 59"
"4",50106,"Austria",2,2,2,10,8,4,"Female",78,"75 o mayor"
"5",50145,"Austria",2,1,2,10,10,4,"Male",64,"entre 60 y 74"
"6",50158,"Austria",2,2,3,8,6,4,"Female",59,"entre 45 y 59"
"7",50211,"Austria",2,2,3,9,6,3,"Female",NA,NA
"8",50212,"Austria",1,3,3,10,9,4,"Female",69,"entre 60 y 74"
"9",50213,"Austria",2,2,3,8,6,4,"Female",52,"entre 45 y 59"
"10",50235,"Austria",2,2,3,10,7,2,"Female",75,"75 o mayor"
"11",50236,"Austria",2,4,3,10,10,4,"Female",44,"entre 30 y 44"
"12",50238,"Austria",1,1,2,7,6,3,"Male",49,"entre 45 y 59"
"13",50240,"Austria",2,3,4,8,5,4,"Female",63,"entre 60 y 74"
"14",50248,"Austria",2,2,3,10,7,3,"Female",76,"75 o mayor"
"15",50270,"Austria",3,5,4,6,8,4,"Female",30,"entre 30 y 44"
"16",50281,"Austria",1,1,4,8,7,4,"Female",67,"entre 60 y 74"
"17",50310,"Austria",1,4,2,10,8,4,"Male",41,"entre 30 y 44"
"18",50311,"Austria",2,2,3,6,6,2,"Female",82,"75 o mayor"
"19",50324,"Austria",1,3,1,1,5,3,"Male",26,"menor de 30"
"20",50339,"Austria",3,3,2,8,6,3,"Male",42,"entre 30 y 44"
"21",50341,"Austria",1,1,4,10,10,2,"Female",85,"75 o mayor"
"22",50349,"Austria",1,2,2,9,6,5,"Male",72,"entre 60 y 74"
"23",50355,"Austria",1,4,4,8,6,2,"Male",31,"entre 30 y 44"
"24",50358,"Austria",4,3,4,9,1,2,"Male",47,"entre 45 y 59"
"25",50363,"Austria",2,3,2,8,8,3,"Female",50,"entre 45 y 59"
"26",50367,"Austria",1,1,3,10,8,3,"Female",60,"entre 60 y 74"
"27",50375,"Austria",2,2,4,8,6,4,"Female",43,"entre 30 y 44"
"28",50380,"Austria",2,2,3,10,5,3,"Female",41,"entre 30 y 44"
"29",50412,"Austria",1,3,3,9,7,3,"Female",35,"entre 30 y 44"
"30",50423,"Austria",2,2,2,8,5,1,"Female",49,"entre 45 y 59"
"31",50427,"Austria",1,3,4,9,0,4,"Female",36,"entre 30 y 44"
"32",50433,"Austria",5,2,2,10,10,5,"Male",46,"entre 45 y 59"
"33",50441,"Austria",3,1,4,10,2,3,"Female",81,"75 o mayor"
"34",50446,"Austria",2,2,3,6,6,4,"Female",57,"entre 45 y 59"
"35",50465,"Austria",1,4,2,9,9,4,"Female",67,"entre 60 y 74"
"36",50468,"Austria",2,4,2,10,10,3,"Female",38,"entre 30 y 44"
"37",50489,"Austria",1,2,3,8,10,4,"Female",42,"entre 30 y 44"
"38",50512,"Austria",1,2,3,10,6,3,"Female",59,"entre 45 y 59"
"39",50517,"Austria",1,3,3,10,7,4,"Male",NA,NA
"40",50577,"Austria",2,1,4,10,8,3,"Male",58,"entre 45 y 59"
"41",50591,"Austria",1,3,3,7,5,3,"Female",38,"entre 30 y 44"
"42",50592,"Austria",2,4,3,9,8,4,"Female",79,"75 o mayor"
"43",50611,"Austria",1,5,4,8,6,1,"Female",25,"menor de 30"
"44",50623,"Austria",1,2,2,9,8,4,"Female",34,"entre 30 y 44"
"45",50637,"Austria",1,1,3,7,8,2,"Male",74,"entre 60 y 74"
"46",50638,"Austria",2,3,3,9,6,3,"Male",74,"entre 60 y 74"
"47",50651,"Austria",1,4,2,9,9,4,"Female",36,"entre 30 y 44"
"48",50681,"Austria",2,1,2,8,5,3,"Male",28,"menor de 30"
"49",50687,"Austria",2,2,NA,10,10,4,"Male",65,"entre 60 y 74"
"50",50707,"Austria",NA,2,2,5,5,4,"Female",42,"entre 30 y 44"
"51",50714,"Austria",1,2,2,9,9,4,"Male",60,"entre 60 y 74"
"52",50730,"Austria",2,2,2,10,7,5,"Male",60,"entre 60 y 74"
"53",50732,"Austria",1,5,4,10,5,3,"Female",16,"menor de 30"
"54",50735,"Austria",2,4,4,10,5,2,"Male",28,"menor de 30"
"55",50812,"Austria",NA,1,NA,8,5,4,"Female",71,"entre 60 y 74"
"56",50868,"Austria",4,3,2,6,8,3,"Female",20,"menor de 30"
"57",50897,"Austria",3,2,3,9,8,3,"Female",80,"75 o mayor"
"58",50910,"Austria",5,2,2,8,7,3,"Female",75,"75 o mayor"
"59",50979,"Austria",2,3,4,8,7,3,"Male",51,"entre 45 y 59"
"60",50994,"Austria",1,1,3,10,8,5,"Female",87,"75 o mayor"
"61",50995,"Austria",2,2,3,9,10,4,"Female",57,"entre 45 y 59"
"62",51015,"Austria",4,2,3,7,4,3,"Male",76,"75 o mayor"
"63",51029,"Austria",2,NA,2,10,10,3,"Male",61,"entre 60 y 74"
"64",51042,"Austria",2,2,3,10,2,4,"Female",43,"entre 30 y 44"
"65",51046,"Austria",5,2,4,9,1,3,"Female",76,"75 o mayor"
"66",51086,"Austria",2,2,3,10,8,3,"Female",43,"entre 30 y 44"
"67",51112,"Austria",2,2,3,8,6,4,"Male",51,"entre 45 y 59"
"68",51128,"Austria",2,2,2,9,9,4,"Male",69,"entre 60 y 74"
"69",51136,"Austria",2,3,2,7,9,4,"Female",47,"entre 45 y 59"
"70",51181,"Austria",2,1,4,8,7,3,"Male",89,"75 o mayor"
"71",51190,"Austria",2,4,4,10,5,3,"Male",72,"entre 60 y 74"
"72",51191,"Austria",1,2,4,10,5,3,"Female",74,"entre 60 y 74"
"73",51192,"Austria",2,3,2,9,6,3,"Female",68,"entre 60 y 74"
"74",51221,"Austria",1,5,2,8,3,3,"Female",36,"entre 30 y 44"
"75",51224,"Austria",2,2,2,9,8,4,"Male",87,"75 o mayor"
"76",51231,"Austria",4,2,4,8,6,2,"Female",74,"entre 60 y 74"
"77",51259,"Austria",NA,2,4,5,5,4,"Male",24,"menor de 30"
"78",51262,"Austria",2,2,3,9,6,5,"Male",59,"entre 45 y 59"
"79",51285,"Austria",2,4,4,7,5,3,"Female",21,"menor de 30"
"80",51322,"Austria",1,1,3,9,8,3,"Male",32,"entre 30 y 44"
"81",51414,"Austria",2,4,4,9,6,3,"Female",47,"entre 45 y 59"
"82",51440,"Austria",1,4,1,8,8,5,"Male",45,"entre 45 y 59"
"83",51455,"Austria",2,2,3,8,6,4,"Male",44,"entre 30 y 44"
