"name","essround","edition","proddate","idno","cntry","dweight","pweight","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",50014,"AT",1.1851145,0.33091453,2,4,3,10,5,4,1,65,0.0005786479,107,317
"ESS11e01",11,"1.0","20.06.2024",50030,"AT",0.6098981,0.33091453,1,2,2,8,8,5,2,21,0.0011243912,69,128
"ESS11e01",11,"1.0","20.06.2024",50057,"AT",1.3923296,0.33091453,1,5,1,9,7,5,2,53,0.00049253,18,418
"ESS11e01",11,"1.0","20.06.2024",50106,"AT",0.5560615,0.33091453,2,2,2,10,8,4,2,78,0.0012332522,101,295
"ESS11e01",11,"1.0","20.06.2024",50145,"AT",0.7227953,0.33091453,2,1,2,10,10,4,1,64,0.0009487666,115,344
"ESS11e01",11,"1.0","20.06.2024",50158,"AT",0.9926053,0.33091453,2,2,3,8,6,4,2,59,0.0006908728,7,373
"ESS11e01",11,"1.0","20.06.2024",50211,"AT",0.5403178,0.33091453,2,2,3,9,6,3,2,77,0.0012691865,58,86
"ESS11e01",11,"1.0","20.06.2024",50212,"AT",0.81462234,0.33091453,1,3,3,10,9,4,2,69,0.0008418184,38,3
"ESS11e01",11,"1.0","20.06.2024",50213,"AT",1.3649563,0.33091453,2,2,3,8,6,4,2,52,0.0005024074,62,108
"ESS11e01",11,"1.0","20.06.2024",50235,"AT",0.872949,0.33091453,2,2,3,10,7,2,2,75,0.0007855717,105,314
"ESS11e01",11,"1.0","20.06.2024",50236,"AT",0.6989865,0.33091453,2,4,3,10,10,4,2,44,0.0009810835,26,622
"ESS11e01",11,"1.0","20.06.2024",50238,"AT",0.8320375,0.33091453,1,1,2,7,6,3,1,49,0.0008241984,94,242
"ESS11e01",11,"1.0","20.06.2024",50240,"AT",0.87345386,0.33091453,2,3,4,8,5,4,2,63,0.0007851177,100,270
"ESS11e01",11,"1.0","20.06.2024",50248,"AT",0.9025512,0.33091453,2,2,3,10,7,3,2,76,0.00075980625,98,255
"ESS11e01",11,"1.0","20.06.2024",50270,"AT",0.58181804,0.33091453,3,5,4,6,8,4,2,30,0.0011786572,5,368
"ESS11e01",11,"1.0","20.06.2024",50281,"AT",0.69352174,0.33091453,1,1,4,8,7,4,2,67,0.000988814,35,783
"ESS11e01",11,"1.0","20.06.2024",50310,"AT",2.3245115,0.33091453,1,4,2,10,8,4,1,41,0.00029501427,75,165
"ESS11e01",11,"1.0","20.06.2024",50311,"AT",0.9926053,0.33091453,2,2,3,6,6,2,2,82,0.0006908728,7,373
"ESS11e01",11,"1.0","20.06.2024",50324,"AT",1.0702981,0.33091453,1,3,1,1,5,3,1,26,0.00064072246,56,73
"ESS11e01",11,"1.0","20.06.2024",50339,"AT",0.5560615,0.33091453,3,3,2,8,6,3,1,42,0.0012332522,101,283
"ESS11e01",11,"1.0","20.06.2024",50341,"AT",0.48294935,0.33091453,1,1,4,10,10,2,2,85,0.0014199503,17,414
"ESS11e01",11,"1.0","20.06.2024",50349,"AT",0.9926053,0.33091453,1,2,2,9,6,5,1,72,0.0006908728,7,373
"ESS11e01",11,"1.0","20.06.2024",50355,"AT",0.7366085,0.33091453,1,4,4,8,6,2,1,31,0.0009309749,21,610
"ESS11e01",11,"1.0","20.06.2024",50358,"AT",1.9501987,0.33091453,4,3,4,9,1,2,1,47,0.00035163807,23,429
"ESS11e01",11,"1.0","20.06.2024",50363,"AT",1.9560468,0.33091453,2,3,2,8,8,3,2,50,0.00035058672,45,31
"ESS11e01",11,"1.0","20.06.2024",50367,"AT",0.6098981,0.33091453,1,1,3,10,8,3,2,60,0.0011243912,69,132
"ESS11e01",11,"1.0","20.06.2024",50375,"AT",1.4462273,0.33091453,2,2,4,8,6,4,2,43,0.00047417445,41,19
"ESS11e01",11,"1.0","20.06.2024",50380,"AT",1.298475,0.33091453,2,2,3,10,5,3,2,41,0.00052813033,99,266
"ESS11e01",11,"1.0","20.06.2024",50412,"AT",1.329427,0.33091453,1,3,3,9,7,3,2,35,0.0005158343,77,177
"ESS11e01",11,"1.0","20.06.2024",50423,"AT",0.4598905,0.33091453,2,2,2,8,5,1,2,49,0.0014911463,67,121
