"","País","Apego emocional al propio país","Apego emocional a Europa","Género","Rango de edad"
"1","Áustria",10,5,"Hombre","entre 60 y 74"
"2","Áustria",8,8,"Mujer","menor de 30"
"3","Áustria",9,7,"Mujer","entre 45 y 59"
"4","Áustria",10,8,"Mujer","75 o mayor"
"5","Áustria",10,10,"Hombre","entre 60 y 74"
"6","Áustria",8,6,"Mujer","entre 45 y 59"
"7","Áustria",9,6,"Mujer",NA
"8","Áustria",10,9,"Mujer","entre 60 y 74"
"9","Áustria",8,6,"Mujer","entre 45 y 59"
"10","Áustria",10,7,"Mujer","75 o mayor"
"11","Áustria",10,10,"Mujer","entre 30 y 44"
"12","Áustria",7,6,"Hombre","entre 45 y 59"
"13","Áustria",8,5,"Mujer","entre 60 y 74"
"14","Áustria",10,7,"Mujer","75 o mayor"
"15","Áustria",6,8,"Mujer","entre 30 y 44"
"16","Áustria",8,7,"Mujer","entre 60 y 74"
"17","Áustria",10,8,"Hombre","entre 30 y 44"
"18","Áustria",6,6,"Mujer","75 o mayor"
"19","Áustria",1,5,"Hombre","menor de 30"
"20","Áustria",8,6,"Hombre","entre 30 y 44"
"21","Áustria",10,10,"Mujer","75 o mayor"
"22","Áustria",9,6,"Hombre","entre 60 y 74"
"23","Áustria",8,6,"Hombre","entre 30 y 44"
"24","Áustria",9,1,"Hombre","entre 45 y 59"
"25","Áustria",8,8,"Mujer","entre 45 y 59"
"26","Áustria",10,8,"Mujer","entre 60 y 74"
"27","Áustria",8,6,"Mujer","entre 30 y 44"
"28","Áustria",10,5,"Mujer","entre 30 y 44"
"29","Áustria",9,7,"Mujer","entre 30 y 44"
"30","Áustria",8,5,"Mujer","entre 45 y 59"
"31","Áustria",9,0,"Mujer","entre 30 y 44"
"32","Áustria",10,10,"Hombre","entre 45 y 59"
"33","Áustria",10,2,"Mujer","75 o mayor"
"34","Áustria",6,6,"Mujer","entre 45 y 59"
"35","Áustria",9,9,"Mujer","entre 60 y 74"
"36","Áustria",10,10,"Mujer","entre 30 y 44"
"37","Áustria",8,10,"Mujer","entre 30 y 44"
"38","Áustria",10,6,"Mujer","entre 45 y 59"
"39","Áustria",10,7,"Hombre",NA
"40","Áustria",10,8,"Hombre","entre 45 y 59"
"41","Áustria",7,5,"Mujer","entre 30 y 44"
"42","Áustria",9,8,"Mujer","75 o mayor"
"43","Áustria",8,6,"Mujer","menor de 30"
"44","Áustria",9,8,"Mujer","entre 30 y 44"
"45","Áustria",7,8,"Hombre","entre 60 y 74"
"46","Áustria",9,6,"Hombre","entre 60 y 74"
"47","Áustria",9,9,"Mujer","entre 30 y 44"
"48","Áustria",8,5,"Hombre","menor de 30"
"49","Áustria",10,10,"Hombre","entre 60 y 74"
"50","Áustria",5,5,"Mujer","entre 30 y 44"
"51","Áustria",9,9,"Hombre","entre 60 y 74"
"52","Áustria",10,7,"Hombre","entre 60 y 74"
"53","Áustria",10,5,"Mujer","menor de 30"
"54","Áustria",10,5,"Hombre","menor de 30"
